R;G;B;nm
0.72138;0.27862;0.00000;731
0.72134;0.27866;0.00000;732
0.72130;0.27870;0.00000;733
0.72125;0.27875;0.00000;734
0.72120;0.27880;0.00000;735
0.72115;0.27885;0.00000;736
0.72109;0.27891;0.00000;737
0.72104;0.27896;0.00000;738
0.72097;0.27903;0.00000;739
0.72091;0.27909;0.00000;740
0.72084;0.27916;0.00000;741
0.72078;0.27922;0.00000;742
0.72071;0.27929;0.00000;743
0.72064;0.27936;0.00000;744
0.72057;0.27943;0.00000;745
0.72050;0.27950;0.00000;746
0.72043;0.27957;0.00000;747
0.72036;0.27964;0.00000;748
0.72029;0.27971;0.00000;749
0.72022;0.27978;0.00000;750
0.72015;0.27985;0.00000;751
0.72009;0.27991;0.00000;752
0.72002;0.27998;0.00000;753
0.71995;0.28005;0.00000;754
0.71988;0.28012;0.00000;755
0.71980;0.28020;0.00000;756
0.71973;0.28027;0.00000;757
0.71965;0.28035;0.00000;758
0.71958;0.28042;0.00000;759
0.71950;0.28050;0.00000;760
0.71943;0.28057;0.00000;761
0.71935;0.28065;0.00000;762
0.71928;0.28072;0.00000;763
0.71921;0.28079;0.00000;764
0.71915;0.28085;0.00000;765
0.71908;0.28092;0.00000;766
0.71901;0.28099;0.00000;767
0.71894;0.28106;0.00000;768
0.71888;0.28112;0.00000;769
0.71881;0.28119;0.00000;770
0.71874;0.28126;0.00000;771
0.71867;0.28133;0.00000;772
0.71860;0.28140;0.00000;773
0.71852;0.28148;0.00000;774
0.71845;0.28155;0.00000;775
0.71838;0.28162;0.00000;776
0.71830;0.28170;0.00000;777
0.71822;0.28178;0.00000;778
0.71814;0.28186;0.00000;779
0.71807;0.28193;0.00000;780
0.71799;0.28201;0.00000;781
0.71791;0.28209;0.00000;782
0.71783;0.28217;0.00000;783
0.71775;0.28225;0.00000;784
0.71766;0.28234;0.00000;785
0.71758;0.28242;0.00000;786
0.71750;0.28250;0.00000;787
0.71742;0.28258;0.00000;788
0.71733;0.28267;0.00000;789
0.71725;0.28275;0.00000;790
0.71716;0.28284;0.00000;791
0.71708;0.28292;0.00000;792
0.71699;0.28301;0.00000;793
0.71690;0.28310;0.00000;794
0.71681;0.28319;0.00000;795
0.71671;0.28329;0.00000;796
0.71661;0.28339;0.00000;797
0.71651;0.28349;0.00000;798
0.71641;0.28359;0.00000;799
0.71630;0.28370;0.00000;800
0.71619;0.28381;0.00000;801
0.71609;0.28391;0.00000;802
0.71598;0.28402;0.00000;803
0.71588;0.28412;0.00000;804
0.71577;0.28423;0.00000;805
0.71566;0.28434;0.00000;806
0.71556;0.28444;0.00000;807
0.71545;0.28455;0.00000;808
0.71534;0.28466;0.00000;809
0.71523;0.28477;0.00000;810
0.71513;0.28487;0.00000;811
0.71502;0.28498;0.00000;812
0.71491;0.28509;0.00000;813
0.71480;0.28520;0.00000;814
0.71469;0.28531;0.00000;815
0.71459;0.28541;0.00000;816
0.71449;0.28551;0.00000;817
0.71438;0.28562;0.00000;818
0.71428;0.28572;0.00000;819
0.71418;0.28582;0.00000;820
0.71409;0.28591;0.00000;821
0.71400;0.28600;0.00000;822
0.71391;0.28609;0.00000;823
0.71382;0.28618;0.00000;824
0.71373;0.28627;0.00000;825
0.71365;0.28635;0.00000;826
0.71358;0.28642;0.00000;827
0.71350;0.28650;0.00000;828
0.71343;0.28657;0.00000;829
0.71336;0.28664;0.00000;830
